[3715] (-35.863773, 63.393066) = 
[3716] (-16.807833, -16.829388) = 
[3717] (38.453922, -17.356806) = 
[3718] (40.314205, 31.312803) = 
[3719] (3.600942, 32.649853) = 
[3720] (-4.228581, 6.877601) = 
[3721] (4.671639, -0.070694) = 
[3722] (16.471853, 3.280899) = 
[3723] (7.243464, 12.594446) = 
[3724] (0.153658, 10.035440) = 
[3725] (-5.170617, 0.926094) = 
[3726] (-0.227456, -6.688119) = 
[3727] (6.549819, -6.267007) = 
[3728] (9.365032, 2.282452) = 
[3729] (2.816108, 4.011858) = 
[3730] (-0.294995, 1.039614) = 
[3731] (0.158803, 0.037817) = 
[3732] (-1.251848, 0.469627) = 
[3733] (-3.082025, -2.694730) = 
[3734] (-0.267182, -4.882052) = 
[3735] (1.272875, -2.073196) = 
[3736] (-0.871472, -0.474898) = 
[3737] (-4.648597, -2.351242) = 
[3738] (-1.945501, -6.871845) = 
[3739] (2.161736, -7.285001) = 
[3740] (5.416234, -2.649917) = 
[3741] (2.786857, 3.281459) = 
[3742] (-2.585804, 6.121751) = 
[3743] (-10.297282, -1.116555) = 
[4640] (-0.408892, 0.259293) = 
[4641] (0.823330, 1.099829) = 
[4642] (-0.531203, 4.725283) = 
[4643] (-6.120620, 5.595861) = 
[4644] (-5.322824, 1.777164) = 
[4645] (-2.042211, 2.666316) = 
[4646] (-0.342794, 7.420774) = 
[4647] (-1.207974, 9.290506) = 
[4648] (-8.301558, 12.521900) = 
[4649] (-15.943822, 3.560925) = 
[4650] (-10.146780, -9.941806) = 
[4651] (6.367455, -8.736115) = 
[4652] (11.326077, 11.261057) = 
[4653] (-4.972822, 16.586983) = 
[4654] (-12.916660, 1.545617) = 
[4655] (-0.126874, -6.257576) = 
[4656] (8.637609, 6.891531) = 
[4657] (-0.205754, 12.766085) = 
[4658] (-10.197330, 9.084077) = 
[4659] (-6.728572, 0.627330) = 
[4660] (-1.023165, 0.908316) = 
[4661] (0.226942, 5.016163) = 
[4662] (-1.445785, 4.423273) = 
[4663] (-3.068343, 3.766688) = 
[4664] (-3.485598, 1.021118) = 
[4665] (-1.616429, -0.752382) = 
[4666] (-0.028374, -0.176807) = 
[4667] (-0.402688, -0.387426) = 
[4668] (0.865188, -2.026992) = 
[4669] (3.721428, 0.042846) = 
[4670] (1.446675, 3.695028) = 
[4671] (-3.389587, -0.463026) = 
[3136] (7.503786, 3.145579) = 
[3137] (10.012529, 9.552309) = 
[3138] (7.543215, 10.400828) = 
[3139] (6.596917, 15.719934) = 
[3140] (-6.783397, 17.299994) = 
[3141] (-16.041849, 6.230013) = 
[3142] (-10.091216, -8.061305) = 
[3143] (1.438066, -8.826804) = 
[3144] (3.339680, -1.332361) = 
[3145] (0.840838, 0.288541) = 
[3146] (-0.207506, -0.162362) = 
[3147] (-1.303691, -0.428948) = 
[3148] (-1.895656, -2.311285) = 
[3149] (0.027322, -3.163346) = 
[3150] (1.355079, -1.151024) = 
[3151] (-1.161018, 0.623381) = 
[3152] (-4.281996, -1.464436) = 
[3153] (-4.660082, -4.208426) = 
[3154] (-5.162878, -7.999450) = 
[3155] (1.155752, -12.136432) = 
[3156] (10.541923, -9.915124) = 
[3157] (13.124608, 1.660799) = 
[3158] (3.931509, 9.926779) = 
[3159] (-3.449088, 4.055539) = 
[3160] (-2.635559, -0.535395) = 
[3161] (0.263456, -0.097039) = 
[3162] (-2.187141, 1.062010) = 
[3163] (-3.216729, -2.063875) = 
[3164] (-0.263359, -3.379829) = 
[3165] (1.959946, -0.905202) = 
[3166] (0.281256, 1.454131) = 
[3167] (-1.948212, 0.663244) = 
[8928] (5.461088, 12.545689) = 
[8929] (-2.748787, 4.719767) = 
[8930] (-1.436921, 0.184744) = 
[8931] (0.461587, 0.148700) = 
[8932] (1.256391, -0.117216) = 
[8933] (2.427003, 0.616885) = 
[8934] (1.695787, 3.585745) = 
[8935] (-1.337987, 2.165318) = 
[8936] (-0.795908, -2.490967) = 
[8937] (4.618088, -4.939538) = 
[8938] (9.965479, -2.030103) = 
[8939] (14.564623, 7.361847) = 
[8940] (7.236672, 19.049984) = 
[8941] (-9.313209, 21.434618) = 
[8942] (-20.931927, 8.206445) = 
[8943] (-12.835932, -10.237771) = 
[8944] (0.323780, -9.142532) = 
[8945] (4.220686, -1.348380) = 
[8946] (0.764806, 0.629823) = 
[8947] (1.240861, -1.968556) = 
[8948] (3.375277, -0.811339) = 
[8949] (1.954427, 3.705909) = 
[8950] (-2.355900, 2.489731) = 
[8951] (-2.599985, -1.929006) = 
[8952] (0.934602, -3.836701) = 
[8953] (2.937701, -2.176915) = 
[8954] (3.410815, 0.432969) = 
[8955] (1.378018, 1.628060) = 
[8956] (-0.021050, 0.386719) = 
[8957] (1.045594, -1.037369) = 
[8958] (2.068035, 0.333210) = 
[8959] (0.756096, 1.262519) = 
[1504] (-256.029785, -408.428314) = 
[1505] (15.787872, 564.799744) = 
[1506] (-670.425293, 765.917175) = 
[1507] (-987.838318, 34.958755) = 
[1508] (-770.447266, -78.444801) = 
[1509] (-392.061584, -289.961792) = 
[1510] (-187.045258, -288.414124) = 
[1511] (257.031860, -194.844879) = 
[1512] (384.274658, 245.641602) = 
[1513] (71.204330, 543.238037) = 
[1514] (-312.128082, 384.063965) = 
[1515] (-293.797119, 130.611252) = 
[1516] (-152.289841, 58.149540) = 
[1517] (-130.602097, 43.825451) = 
[1518] (-89.033585, -14.137506) = 
[1519] (-28.503021, -24.575056) = 
[1520] (-1.769516, 2.369194) = 
[1521] (6.513136, -7.833642) = 
[1522] (46.233208, -7.084781) = 
[1523] (79.901932, 9.265145) = 
[1524] (77.353569, 51.161911) = 
[1525] (69.541695, 79.437683) = 
[1526] (-4.289962, 107.170700) = 
[1527] (-88.804153, 39.757957) = 
[1528] (-78.743492, -93.127075) = 
[1529] (64.555199, -128.964005) = 
[1530] (124.048080, -64.107445) = 
[1531] (82.937500, -32.173489) = 
[1532] (103.436409, -51.752220) = 
[1533] (120.258263, 7.843609) = 
[1534] (86.093155, 74.007851) = 
[1535] (6.895159, 21.683653) = 
[3872] (-3.410139, 16.839653) = 
[3873] (-13.545571, 5.269700) = 
[3874] (-7.202905, -6.207268) = 
[3875] (3.284859, -3.239672) = 
[3876] (2.289344, 3.749388) = 
[3877] (-4.406096, 2.838719) = 
[3878] (-2.465533, -2.755303) = 
[3879] (1.117621, -1.426641) = 
[3880] (-0.667497, 2.453703) = 
[3881] (-4.058219, 0.798867) = 
[3882] (-2.529055, -3.333825) = 
[3883] (0.393969, -3.554794) = 
[3884] (1.335676, -1.893756) = 
[3885] (1.212326, -0.261048) = 
[3886] (0.224213, 0.077873) = 
[3887] (-0.223276, -0.959036) = 
[3888] (1.238662, -1.173494) = 
[3889] (1.516475, 0.774972) = 
[3890] (-1.064834, 0.908920) = 
[3891] (-1.583159, -1.675785) = 
[3892] (1.769098, -2.622840) = 
[3893] (1.813247, 0.902300) = 
[3894] (-1.391702, 0.859128) = 
[3895] (-0.581202, -4.007284) = 
[3896] (6.205878, -4.501480) = 
[3897] (7.764883, 3.110924) = 
[3898] (2.689283, 8.490928) = 
[3899] (-2.000074, 8.218537) = 
[3900] (-3371.525879, 2501.699219) = 
[3901] (420.143707, -416.658020) = 
[3902] (768.543030, -94.240898) = 
[3903] (518.932434, 356.263062) = 
[5440] (-9.466352, 2.506461) = 
[5441] (-11.651385, -0.236727) = 
[5442] (-7.345587, -4.204193) = 
[5443] (-1.852638, -4.222061) = 
[5444] (-0.584348, -0.162759) = 
[5445] (-1.141222, 0.140829) = 
[5446] (-0.206379, -0.064587) = 
[5447] (0.566539, 0.123337) = 
[5448] (1.693290, 0.665330) = 
[5449] (1.841978, 2.542099) = 
[5450] (-1.581286, 3.484649) = 
[5451] (-3.960610, -1.902324) = 
[5452] (1.204478, -7.110054) = 
[5453] (7.102283, -5.749384) = 
[5454] (6.521253, -1.687447) = 
[5455] (6.721460, -3.455984) = 
[5456] (13.983203, -2.668889) = 
[5457] (15.167591, 4.637093) = 
[5458] (7.960634, 10.642924) = 
[5459] (2.540735, 3.251435) = 
[5460] (-3461.587891, 2497.585938) = 
[5461] (152.776550, 44.671326) = 
[5462] (406.082092, 439.008636) = 
[5463] (266.703674, 644.264343) = 
[5464] (-220.138931, 524.241211) = 
[5465] (-227.743225, 166.999435) = 
[5466] (-41.863049, 94.353317) = 
[5467] (-56.027451, 184.054626) = 
[5468] (-100.031372, 144.732361) = 
[5469] (-48.292156, 89.032913) = 
[5470] (-12.707862, 169.503525) = 
[5471] (-121.577682, 212.018066) = 
[1152] (19.893217, 60.138443) = 
[1153] (-18.401957, 35.956791) = 
[1154] (-1.419507, 5.565516) = 
[1155] (11.075557, 6.598320) = 
[1156] (1.684904, 3.249599) = 
[1157] (-2.425545, -13.585874) = 
[1158] (2.078088, -37.481445) = 
[1159] (29.279312, -57.910015) = 
[1160] (74.460449, -25.793947) = 
[1161] (43.557503, 37.643673) = 
[1162] (-46.868736, 35.340912) = 
[1163] (-74.816269, -104.663597) = 
[1164] (22.700718, -150.652451) = 
[1165] (63.392769, -66.329239) = 
[1166] (16.421154, -32.286430) = 
[1167] (-14.757454, -96.490654) = 
[1168] (77.719574, -99.836380) = 
[1169] (75.368805, -9.803047) = 
[1170] (15362.733398, -41311.796875) = 
[1171] (955.732544, -2681.371582) = 
[1172] (554.044800, 4825.310547) = 
[1173] (-368.147247, 142.928665) = 
[1174] (1628.969360, 73.117760) = 
[1175] (1684.557251, 1275.521240) = 
[1176] (617.877136, 1271.729492) = 
[1177] (777.536560, 799.352234) = 
[1178] (243.487564, 1560.543945) = 
[1179] (-945.847778, 1223.558960) = 
[1180] (-924.066040, -494.255829) = 
[1181] (620.418518, -1076.051392) = 
[1182] (1545.486084, 145.935043) = 
[1183] (546.326538, 1170.388428) = 
[10016] (0.681491, -1.622271) = 
[10017] (5.497379, 2.363919) = 
[10018] (2.247554, 6.971304) = 
[10019] (-1.883322, 5.689418) = 
[10020] (-1.465107, 3.003382) = 
[10021] (-1.499341, 3.317728) = 
[10022] (-2.027062, 2.832326) = 
[10023] (-2.452461, 1.068295) = 
[10024] (-1.493042, -0.144443) = 
[10025] (-0.910973, -0.184281) = 
[10026] (-0.373686, -0.083258) = 
[10027] (0.164723, -0.127519) = 
[10028] (0.465050, 0.461586) = 
[10029] (-0.116716, 0.800760) = 
[10030] (-0.594122, 0.211576) = 
[10031] (-0.160039, -0.254621) = 
[10032] (0.261044, -0.056966) = 
[10033] (0.155543, 0.241175) = 
[10034] (-0.033332, 0.171602) = 
[10035] (-0.012541, 0.034163) = 
[10036] (0.005461, -0.030410) = 
[10037] (0.051516, -0.138485) = 
[10038] (0.193405, -0.162376) = 
[10039] (0.250810, -0.048862) = 
[10040] (0.239687, 0.020068) = 
[10041] (0.185406, 0.001676) = 
[10042] (0.123742, 0.034365) = 
[10043] (-0.000528, -0.069954) = 
[10044] (0.113945, -0.253066) = 
[10045] (0.431148, -0.093724) = 
[10046] (0.311209, 0.256788) = 
[10047] (-0.079382, 0.263430) = 
[576] (-44.331264, -72.264465) = 
[577] (124.099251, -26.957602) = 
[578] (116.799110, 205.804413) = 
[579] (-152.871582, 286.209381) = 
[580] (-287.337311, -4.755949) = 
[581] (-41.223465, -198.793915) = 
[582] (243.254974, -28.416042) = 
[583] (256.997559, 236.802689) = 
[584] (196.691849, 537.862732) = 
[585] (27712.185547, -145780.843750) = 
[586] (326.300385, -10860.141602) = 
[587] (2917.916748, -6384.432129) = 
[588] (1931.180054, -7463.371582) = 
[589] (9618.334961, -8816.162109) = 
[590] (15824.607422, 2778.156982) = 
[591] (6829.519043, 16041.160156) = 
[592] (-9522.305664, 14146.077148) = 
[593] (-17043.261719, -1134.693115) = 
[594] (-6760.256348, -8588.553711) = 
[595] (716.025085, -6778.819824) = 
[596] (1727.586060, -2473.194580) = 
[597] (689.248718, -1811.157349) = 
[598] (1113.713745, -1687.909058) = 
[599] (1317.223145, -496.891663) = 
[600] (309.313873, 82.250816) = 
[601] (-263.857880, -308.264709) = 
[602] (-71.767258, -833.878357) = 
[603] (261.589081, -1005.039429) = 
[604] (929.953064, -1115.895752) = 
[605] (1515.116455, -208.733551) = 
[606] (1028.102417, 955.406799) = 
[607] (-94.880447, 1074.035522) = 
[10560] (1.177899, -1.525972) = 
[10561] (0.304911, -3.041031) = 
[10562] (1.039794, -5.018402) = 
[10563] (2.055558, -5.822820) = 
[10564] (2.788160, -4.112683) = 
[10565] (3.898791, -3.239345) = 
[10566] (0.760248, -1.793210) = 
[10567] (-1.025579, -4.988245) = 
[10568] (2.701519, -7.286720) = 
[10569] (7.780049, -2.185091) = 
[10570] (2.510429, 3.595453) = 
[10571] (-4.727200, 1.088314) = 
[10572] (-4.592966, -6.203611) = 
[10573] (1.090486, -7.206206) = 
[10574] (3.948165, -2.774094) = 
[10575] (1.127287, -0.595209) = 
[10576] (0.200170, -1.656102) = 
[10577] (0.860949, -2.362112) = 
[10578] (1.154548, -1.738289) = 
[10579] (0.724653, -0.668762) = 
[10580] (0.423379, -0.315569) = 
[10581] (0.042036, -0.041275) = 
[10582] (-0.097059, 0.334021) = 
[10583] (-0.652828, 1.096002) = 
[10584] (-2.342090, 0.699404) = 
[10585] (-1.985024, -1.313292) = 
[10586] (0.750197, -1.543388) = 
[10587] (1.955317, 1.883281) = 
[10588] (-0.765226, 3.916176) = 
[10589] (-3.881293, 1.733391) = 
[10590] (-1.603126, -0.566662) = 
[10591] (-0.065918, 1.113845) = 
[2432] (12.311954, -3.319307) = 
[2433] (19.967602, 18.809982) = 
[2434] (1.768075, 26.844521) = 
[2435] (-3.952521, 10.776827) = 
[2436] (8.088894, 5.629074) = 
[2437] (21.373198, 18.747776) = 
[2438] (1.005720, 25.450956) = 
[2439] (-1.962988, 12.261903) = 
[2440] (6.567410, 2.614575) = 
[2441] (16.838905, 5.256360) = 
[2442] (24.820274, 4.680006) = 
[2443] (33.053303, 33.273224) = 
[2444] (7.289416, 46.503551) = 
[2445] (-24.667143, 21.643898) = 
[2446] (-11.370075, -12.698326) = 
[2447] (21.083736, -11.897209) = 
[2448] (29.049410, 25.642778) = 
[2449] (1.814915, 31.179808) = 
[2450] (-5.816515, 10.960761) = 
[2451] (3.036963, 3.340774) = 
[2452] (8.735850, 9.667760) = 
[2453] (-1.048049, 11.157390) = 
[2454] (-3.544871, 4.227919) = 
[2455] (-0.739958, 0.235338) = 
[2456] (0.203903, 0.083936) = 
[2457] (-1.185147, -0.426373) = 
